#	x	y	value.real	value.imag	value.abs
+1.480000e+01	+2.000000e+00	+2.431659e-01	+0.000000e+00	+2.431659e-01
+1.520000e+01	+2.000000e+00	+2.209406e-01	+0.000000e+00	+2.209406e-01
+1.560000e+01	+2.000000e+00	+1.995848e-01	+0.000000e+00	+1.995848e-01
+1.600000e+01	+2.000000e+00	+1.790159e-01	+0.000000e+00	+1.790159e-01
+1.640000e+01	+2.000000e+00	+1.591522e-01	+0.000000e+00	+1.591522e-01
+1.680000e+01	+2.000000e+00	+1.399157e-01	+0.000000e+00	+1.399157e-01
+1.720000e+01	+2.000000e+00	+1.212320e-01	+0.000000e+00	+1.212320e-01
+1.760000e+01	+2.000000e+00	+1.030286e-01	+0.000000e+00	+1.030286e-01
+1.800000e+01	+2.000000e+00	+8.523553e-02	+0.000000e+00	+8.523553e-02
+1.840000e+01	+2.000000e+00	+6.778110e-02	+0.000000e+00	+6.778110e-02
+1.880000e+01	+2.000000e+00	+5.059909e-02	+0.000000e+00	+5.059909e-02
+1.920000e+01	+2.000000e+00	+3.362048e-02	+0.000000e+00	+3.362048e-02
+1.960000e+01	+2.000000e+00	+1.677565e-02	+0.000000e+00	+1.677565e-02
+2.000000e+01	+2.000000e+00	+0.000000e+00	+0.000000e+00	+0.000000e+00

+0.000000e+00	+2.400000e+00	+3.886507e+00	+0.000000e+00	+3.886507e+00
+4.000000e-01	+2.400000e+00	+3.455444e+00	+0.000000e+00	+3.455444e+00
